id,ativo,possui_variacoes,marca,codigo_erp,ncm,nome,buscavel,produto_digital,categorias,colecoes,filtros,variacoes,selos,slug,video,descricao,meses_de_garantia,frete_customizado,valor_do_frete,especificacoes,medidas,valor_de_presente,categoria_google,seo_titulo_pagina,seo_descricao,seo_palavras_chave,link_canonico,termos_de_busca,link_produto,link_foto_principal
40780014,sim,nao,Incoparts,,,Sapata Barra De Corte Para Plataforma New Holland L.d Ref:84995426,sim,nao,"NEW HOLLAND;NEW HOLLAND > COLHEITADEIRA;Peças para Colheitadeira New Holland, Case, John Deere e Mais | Ingafe;PRODUTOS EM PROMOÇÃO > Principais Produtos",PRODUTOS MAIS VENDIDOS;PRODUTOS;Peças Agrícolas em destaque,,,COMPRA GARANTIDA MERCADO PAGO,sapata-barra-de-corte-plataforma-new-holland-ld-ref8499542,,"<p>Envio imediato para todo o Brasil</p><p>Peça reforçada para colheitadeira New Holland</p><p>Garantia 3 meses</p><p>Duvidas se serve na sua Máquina, Fale Conosco.</p><p><br /></p><p><br /></p><p>NOSSOS PRODUTOS FABRICADOS NO BRASIL</p><p><br /></p><p><strong>Modelos de plataformas New Holland (compatíveis):</strong></p><p><br /></p><p><br /></p><ul><li>13PESNH</li><li>15PESNH</li><li>17PESNH</li><li>18PESNH</li><li>19PESNH</li><li>23PESNH</li></ul><p>CÓDIGOS REFERÊNCIA:</p><p><br /></p><ul><li>466791</li><li>757924</li><li>84995605</li><li>9575408</li></ul><p><br /></p><p>A Sapata Barra De Corte Plataforma New Holland L.d Ref:8499542 é um componente essencial para garantir a eficiência e a precisão em suas operações agrícolas. Fabricada pela renomada marca INCOPARTS, esta sapata é projetada especificamente para modelos New Holland, assegurando um encaixe perfeito e desempenho superior.</p><p><br /></p><p>Com um design robusto e materiais de alta qualidade, a sapata proporciona durabilidade e resistência, mesmo nas condições mais exigentes. Sua instalação é simples, permitindo que você retome suas atividades rapidamente, sem complicações.</p><p><br /></p><p>Ideal para agricultores e profissionais do setor, este produto é a escolha certa para quem busca otimizar o desempenho de suas máquinas. Invista na qualidade e na eficiência que a Sapata Barra De Corte Plataforma New Holland L.d Ref:8499542 pode oferecer ao seu trabalho diário.</p>",3,sim,0,,,0,,Sapata Barra De Corte Plataforma New Holland L.d Ref:8499542,"Ingafert Peças Agrícolas | Peças para Tratores, Colheitadeiras e Plataformas - New Holland, John Deere entre outras.A Ingafert é especialista em peças agrícola...",,,"Sapata barra de corte, new holland, peças agricola",https://www.ingafert.com.br/sapata-barra-de-corte-plataforma-new-holland-ld-ref8499542/p,https://images.yampi.me/assets/stores/ingafert-pecas-agricolas/uploads/images/sapata-barra-de-corte-plataforma-new-holland-ld-ref8499542-68361f6e3961b-medium.jpg
40787127,sim,nao,NEW HOOLAND,,,Dedo Alimentador CR New Holland   Ref. 89508953,sim,nao,"NEW HOLLAND;NEW HOLLAND > COLHEITADEIRA;Peças para Colheitadeira New Holland, Case, John Deere e Mais | Ingafe;PRODUTOS EM PROMOÇÃO > Principais Produtos",PRODUTOS MAIS VENDIDOS;PRODUTOS;NEW HOLLAND;COLHEITADEIRA;Peças Agrícolas em destaque,,,COMPRA GARANTIDA MERCADO PAGO,dedo-levantador-de-feijao-colheita-new-holland-ref-89508953,,"<p>Compatível com os seguintes modelos de colheitadeiras New Holland:</p><p>CR9060</p><p>CR9070</p><p>CR9080</p><p>CR940</p><p>CR960</p><p>CR970</p><p>CR980</p><p><br /></p><p>O DEDO Alimentador NEW HOLLAND CR REF: 89508953 é um componente essencial para otimizar a colheita de feijão, proporcionando eficiência e precisão no processo. este acessório é projetado especificamente para a colheitadeira New Holland, garantindo um encaixe perfeito e desempenho superior.</p><p><br /></p><p>Com um design robusto e durável, o dedo levantador é capaz de suportar as exigências do trabalho em campo, contribuindo para uma colheita mais rápida e eficaz. Sua construção de alta qualidade assegura que você possa contar com ele em diversas condições de operação, aumentando a produtividade da sua colheita.</p><p><br /></p><p>Este produto é ideal para agricultores e profissionais do setor agrícola que buscam melhorar suas operações de colheita. Ao investir no DEDO LEVANTADOR DE FEIJAO, você estará garantindo um equipamento que não só facilita o trabalho, mas também maximiza os resultados na sua lavoura.</p>",3,nao,0,,,0,,Dedo Levantador de feijao colheitadeira New Holland,"Peça desenvolvida para reposição perfeita em colheitadeiras New Holland linha CR.Alta resistência, encaixe preciso e ideal para trabalho pesado na colheita.  ...",,,,https://www.ingafert.com.br/dedo-levantador-de-feijao-colheita-new-holland-ref-89508953/p,https://images.yampi.me/assets/stores/ingafert-pecas-agricolas/uploads/images/dedo-levantador-de-feijao-colheita-new-holland-ref-89508953-68361e6b00e6d-medium.jpg
40801028,sim,nao,JOHN DEERE,,,Polia Variadora Colheitadeira John Deere Ref:ah220892,sim,nao,"JOHN DEERE;Peças para Colheitadeira New Holland, Case, John Deere e Mais | Ingafe;PRODUTOS EM PROMOÇÃO;PRODUTOS EM PROMOÇÃO > Principais Produtos",PRODUTOS MAIS VENDIDOS;PRODUTOS;JOHN DEERE;COLHEITADEIRA,,,COMPRA GARANTIDA MERCADO PAGO,polia-variadora-colheitadeira-john-deere-refah220892,,"<p>A POLIA VARIADORA COLHEITADEIRA JOHN DEERE REF: AH220892 da marca INCOPARTS é uma solução essencial para otimizar o desempenho da sua colheitadeira. Projetada com precisão, esta polia garante uma operação suave e eficiente, contribuindo para a produtividade nas suas atividades agrícolas.</p><p><br /></p><p>Com um design robusto e materiais de alta qualidade, a POLIA VARIADORA é ideal para quem busca durabilidade e confiabilidade em suas máquinas. Sua compatibilidade com a colheitadeira John Deere assegura que você tenha um componente que se encaixa perfeitamente nas suas necessidades operacionais.</p><p><br /></p><p>A instalação é simples, permitindo que você retome suas atividades rapidamente. Invista na POLIA VARIADORA COLHEITADEIRA JOHN DEERE REF: AH220892 e experimente a diferença que um componente de qualidade pode fazer na sua colheita.</p>",3,sim,0,,,0,,POLIA VARIADORA PARA JOHN DEERE,,,,,https://www.ingafert.com.br/polia-variadora-colheitadeira-john-deere-refah220892/p,https://images.yampi.me/assets/stores/ingafert-pecas-agricolas/uploads/images/polia-variadora-colheitadeira-john-deere-refah220892-6837405663d4e-medium.jpg
40801119,sim,nao,Incoparts,,,Polia Elevador Para  Colheitadeira New Holland REF . 87377124,sim,nao,"NEW HOLLAND > COLHEITADEIRA;Peças para Colheitadeira New Holland, Case, John Deere e Mais | Ingafe;PRODUTOS EM PROMOÇÃO;PRODUTOS EM PROMOÇÃO > Principais Produtos",PRODUTOS MAIS VENDIDOS;NEW HOLLAND;COLHEITADEIRA,,,COMPRA GARANTIDA MERCADO PAGO,polia-elevador-colheitadeira-new-holland-ref-87377124,,"<p>A POLIA ELEVADOR COLHEITADEIRA N.H. 87377124 da marca É uma solução essencial para quem busca eficiência e durabilidade em suas operações agrícolas. Este componente foi projetado para otimizar o desempenho das colheitadeiras, garantindo um funcionamento suave e eficaz durante a colheita.</p><p><br /></p><p>Com um design robusto e materiais de alta qualidade, a POLIA ELEVADOR é ideal para suportar as exigências do trabalho no campo. Sua compatibilidade com diversos modelos de colheitadeiras a torna uma escolha prática para agricultores que desejam manter suas máquinas em excelente estado de funcionamento.</p><p><br /></p><p>A instalação deste produto é simples, permitindo que você retome suas atividades rapidamente. Invista na POLIA ELEVADOR COLHEITADEIRA N.H. 87377124 e experimente a diferença que um componente de qualidade pode fazer na sua produtividade agrícola.</p>",3,nao,0,,,0,,POLIA ELEVADOR PARA NEW HOLLAND REF:87377124,,,,,https://www.ingafert.com.br/polia-elevador-colheitadeira-new-holland-ref-87377124/p,https://images.yampi.me/assets/stores/ingafert-pecas-agricolas/uploads/images/polia-elevador-colheitadeira-new-holland-ref-87377124-683741ba14dc2-medium.jpg
40862504,sim,nao,JOHN DEERE,,,Suporte de Disco de Corte Plantadeira John Deere Ref:CQ39615,sim,nao,JOHN DEERE;Peças para Plantadeira;PLANTADEIRA;PRODUTOS EM PROMOÇÃO > Principais Produtos,PRODUTOS;PRODUTOS MAIS VENDIDOS;Novidades;PLANTADEIRAS,,,COMPRA GARANTIDA MERCADO PAGO,suporte-de-disco-de-corte-plantadeira-john-deere-refcq39615,,"<h3>Descrição</h3><p>O suporte do disco do adubo, CQ39615 é uma peça de reposição agrícola Para John Deere.</p><p>Possui fundido de alta resistência e pintura eletroestática.</p><p><br /></p><h2>Ficha Técnica</h2><p><br /></p><p>Tipo do material Ferro fundido de alta dureza</p><p>Cod Fundido10038</p><p>Cod Original CQ39615</p>",3,nao,0,,,0,,Suporte de Disco de Corte Plantadeira John Deere Ref:CQ39615,"O suporte do disco do adubo, CQ39615 é uma peça de reposição agrícola Para John Deere.Possui fundido de alta resistência e pintura eletroestática.",,,,https://www.ingafert.com.br/suporte-de-disco-de-corte-plantadeira-john-deere-refcq39615/p,https://images.yampi.me/assets/stores/ingafert-pecas-agricolas/uploads/images/suporte-de-disco-de-corte-plantadeira-john-deere-refcq39615-683b887df3a02-medium.png
40892342,sim,nao,Incoparts,,,Cubo Do Disco para plantadeira  John Deere Cq22761 Cq47488 Cq73625,sim,nao,JOHN DEERE;Peças para Plantadeira;PLANTADEIRA;PRODUTOS EM PROMOÇÃO > Principais Produtos,Novidades;PRODUTOS;PLANTADEIRAS,,,COMPRA GARANTIDA MERCADO PAGO,cubo-do-disco-para-plantadeira-john-deere-cq22761-cq47488-cq73625,,"<p>Cubo do Disco para Plantadeira John Deere CQ22761 / CQ47488 / CQ73625 - </p><p>O Cubo do Disco da é a escolha ideal para quem busca qualidade e durabilidade em peças de reposição para plantadeiras John Deere. Compatível com os modelos este cubo é fabricado em ferro fundido de alta resistência, garantindo desempenho superior mesmo nas condições mais exigentes do campo. </p><p><br /></p><p>Características:</p><p> Referências: CQ22761, CQ47488, CQ73625</p><p> Material: Ferro fundido de alta resistência</p><p> Aplicação: Plantadeiras John Deere </p><p> Marca: Incoparts</p><p><br /></p><p>Benefícios:</p><p> Maior durabilidade e resistência ao desgaste</p><p> Fácil instalação e perfeita compatibilidade</p><p> Melhoria no desempenho geral da plantadeira </p><p><br /></p><p> Condições de Compra:</p><p> Envio imediato para todo o Brasil</p>",3,nao,0,,,0,,Cubo Do Disco para plantadeira  John Deere Cq22761 Cq47488 Cq73625,,,,,https://www.ingafert.com.br/cubo-do-disco-para-plantadeira-john-deere-cq22761-cq47488-cq73625/p,https://images.yampi.me/assets/stores/ingafert-pecas-agricolas/uploads/images/cubo-do-disco-para-plantadeira-john-deere-cq22761-cq47488-cq73625-683edac129639-medium.jpg
40960031,sim,nao,NEW HOOLAND,,,Sapata Da Barra De Corte Central Para Plataforma Costela 84995425,sim,nao,,PRODUTOS,,,COMPRA GARANTIDA MERCADO PAGO,sapata-da-barra-de-corte-central-plataforma-costela-84995425,,"<p>Observação:</p><p><br /></p><p>Referência: 84995425</p><p>Compatibilidade: Plataformas de corte de 13 a 30 pés das séries 74C e Axial</p><p>Material: Aço de alta resistência com pintura eletrostática</p><p>Peso: 7,35 kg</p><p>Aplicações: Modelos New Holland e Case</p><p>REF: 84995425 - 87699086 - 466792 </p><p>A Sapata Da Barra De Corte Central Plataforma Costela  Código 84995425 é um componente essencial para a eficiência e durabilidade de sua colheitadeira. esta peça é projetada especificamente para os modelos COLHEITADEIRA NEW HOLLAND E CASE, garantindo um encaixe perfeito e desempenho otimizado.</p><p><br /></p><p>Com a Sapata Da Barra De Corte, você pode esperar uma operação suave e eficaz, reduzindo o desgaste e aumentando a vida útil do equipamento. Sua construção robusta e materiais de alta qualidade asseguram que você possa enfrentar as demandas do campo com confiança.</p><p><br /></p><p>Ideal para agricultores e profissionais do setor agrícola que buscam maximizar a produtividade, esta sapata é uma escolha inteligente para quem valoriza a qualidade e a eficiência. Invista em sua colheitadeira e experimente a diferença que uma peça de qualidade pode fazer em suas operações diárias.</p>",3,nao,0,,,0,,Sapata Da Barra De Corte Central Para Plataforma Costela 84995425,Referência: 84995425Compatibilidade: Plataformas de corte de 13 a 30 pés das séries 74C e AxialMaterial: Aço de alta resistência com pintura eletrostática,,,,https://www.ingafert.com.br/sapata-da-barra-de-corte-central-plataforma-costela-84995425/p,https://images.yampi.me/assets/stores/ingafert-pecas-agricolas/uploads/images/sapata-da-barra-de-corte-central-plataforma-costela-84995425-6845b640a3328-medium.jpg
40960071,sim,nao,Incoparts,,,Compensador Temperado 1070 Nh Ref. 465483,sim,nao,NEW HOLLAND;NEW HOLLAND > COLHEITADEIRA;PRODUTOS EM PROMOÇÃO;PRODUTOS EM PROMOÇÃO > Principais Produtos,PRODUTOS,,,COMPRA GARANTIDA MERCADO PAGO,mola-folha-aco-para-compensador-1070-nh-ref-466787,,"<p>Descrição do Produto:</p><p><br /></p><p>Referência: 465483</p><p>Compatibilidade: Modelos New Holland 1530, 4040, 5050, 8055, TC55, TC59</p><p>Material: Aço de alta resistência</p><p>Peso: 546g</p><p>Dimensões: Altura: 2cm; Largura: 10cm</p><p>Aplicação: Utilizado no sistema de compensação da plataforma</p><p>Garantia: 90 dias conforme o Código de Defesa do Consumidor</p><p>Observação: Produto novo </p><p><br /></p><p>A Mola Folha Compensador Aço Colheitadeira New Holland 465483 da marca INCOPARTS é uma peça essencial para garantir o desempenho ideal da sua colheitadeira. Projetada especificamente para o modelo New Holland, esta mola oferece resistência e durabilidade, suportando as exigências do trabalho agrícola intenso.</p><p>A Mola é um componente vital em sistemas de suspensão de máquinas agrícolas, contribuindo para a estabilidade e absorção de impactos durante as operações. Esta mola de alta qualidade destaca-se por sua resistência e durabilidade, proporcionando um desempenho consistente em diferentes condições de terreno. Compatível com diversos modelos e marcas, sua construção robusta assegura uma operação eficaz em ambientes desafiadores.</p><p><br /></p><p>Informações Técnicas:</p><p><br /></p><p>Fabricada com materiais resistentes para garantir durabilidade e resistência.</p><p>Design específico para otimizar a capacidade de absorção de impactos.</p><p>Compatível com uma variedade de sistemas de suspensão e marcas.</p><p>Resistente a condições adversas no campo.</p><p><br /></p><p>Com um design robusto, a mola proporciona estabilidade e eficiência durante a operação, contribuindo para uma colheita mais produtiva. Sua fabricação em aço de alta qualidade assegura que a peça mantenha suas características mesmo em condições adversas, prolongando a vida útil do equipamento.</p><p><br /></p><p>Ideal para agricultores e profissionais do setor, a Mola Folha Compensador é uma escolha inteligente para quem busca qualidade e confiabilidade. Invista em um componente que fará a diferença na sua colheita e otimize seus resultados com a tecnologia de ponta</p>",3,sim,0,,,0,,Compensador Temperado 1070 Nh Ref. 465483,,,,,https://www.ingafert.com.br/mola-folha-aco-para-compensador-1070-nh-ref-466787/p,https://images.yampi.me/assets/stores/ingafert-pecas-agricolas/uploads/images/mola-folha-aco-para-compensador-1070-nh-ref-466787-6845b82349ed5-medium.jpg
40960094,sim,nao,Incoparts,,,Reparo Bucha Cabeça Navalha Completo Para Nh Ref. 759650,sim,nao,NEW HOLLAND;NEW HOLLAND > COLHEITADEIRA;PRODUTOS EM PROMOÇÃO;PRODUTOS EM PROMOÇÃO > Principais Produtos,PRODUTOS,,,COMPRA GARANTIDA MERCADO PAGO,reparo-bucha-cabeca-navalha-completo-para-nh-ref-759650,,"<p>Descrição do Produto:</p><p><br /></p><p> Referência: 759650</p><p>Compatibilidade: Modelos New Holland 8040, 8055, TC55, TC57, TC59</p><p>Material: Aço de alta resistência</p><p>Aplicação: Utilizado na cabeça da navalha da colheitadeira</p><p>Garantia: 90 dias conforme o Código de Defesa do Consumidor</p><p>Observação: Produto novo </p><p><br /></p><p>O Reparo Bucha Cabeça Da Navalha New Holland REF:759650-84998756 da marca Incoparts é a solução ideal para quem busca eficiência e durabilidade em suas máquinas. Este componente é projetado para garantir um desempenho superior, contribuindo para a manutenção adequada do seu equipamento. Com um design robusto e materiais de alta qualidade, ele assegura uma longa vida útil, mesmo em condições de trabalho exigentes.</p><p><br /></p><p>A instalação deste reparo é simples e prática, permitindo que você retome suas atividades rapidamente. É compatível com diversos modelos da linha New Holland, tornando-se uma escolha versátil para profissionais do setor agrícola e de construção. Ao optar por este produto, você investe na performance e na confiabilidade de suas máquinas, assegurando resultados consistentes em cada operação.</p><p><br /></p><p>Além disso, o Reparo Bucha Cabeça Da Navalha é uma peça que se destaca pela sua resistência ao desgaste, minimizando a necessidade de manutenções frequentes. Isso se traduz em economia de tempo e recursos, permitindo que você se concentre no que realmente importa: a produtividade do seu trabalho. Escolha a qualidade e a eficiência que só a Incoparts pode oferecer.</p>",3,nao,0,,,0,,Reparo Bucha Cabeça Navalha Completo Para Nh Ref. 759650,,,,,https://www.ingafert.com.br/reparo-bucha-cabeca-navalha-completo-para-nh-ref-759650/p,https://images.yampi.me/assets/stores/ingafert-pecas-agricolas/uploads/images/reparo-bucha-cabeca-navalha-completo-para-nh-ref-759650-6845b99e4ddb2-medium.jpg
40960115,sim,nao,NEW HOOLAND,,,Compensador 1070 Para Plataforma Nh Ref. 466787,sim,nao,NEW HOLLAND;NEW HOLLAND > COLHEITADEIRA;PRODUTOS EM PROMOÇÃO;PRODUTOS EM PROMOÇÃO > Principais Produtos,PRODUTOS,,,COMPRA GARANTIDA MERCADO PAGO,compensador-para-plataforma-nh-ref-466787-temperado-1070,,"<p>Descrição do Produto:</p><p>   Marca: New Holland</p><p>   Referência: 466787</p><p>   Compatibilidade: Modelos New Holland 1530, 4040, 5050, 8055, TC55, TC59</p><p>  Material: Aço temperado de alta resistência</p><p>  Peso: 546g</p><p>  Dimensões: Altura: 2cm; Largura: 10cm</p><p>  Aplicação: Utilizado na plataforma de corte para manter a altura correta em terrenos irregulares, proporcionando uma colheita mais eficaz</p><p>  Garantia: 90 dias conforme o Código de Defesa do Consumido</p><p>  Observação: Produto novo </p><p>O Compensador Tempera da plataforma New Holland REF: 466787, da marca INCOPARTS, é um componente essencial para garantir o funcionamento eficiente de sua máquina. Projetado com precisão, este produto oferece durabilidade e resistência, atendendo às exigências do setor agrícola e de construção.</p><p><br /></p><p>Com a sua instalação, você poderá otimizar o desempenho da sua plataforma, assegurando que todas as operações sejam realizadas de forma suave e eficaz. A qualidade dos materiais utilizados na fabricação do compensador proporciona uma longa vida útil, reduzindo a necessidade de manutenções frequentes.</p><p><br /></p><p>Ideal para profissionais que buscam confiabilidade e eficiência, o Compensador Tempera é a escolha certa para quem deseja manter suas máquinas em perfeito estado. Invista em um produto que garante resultados superiores e contribui para a produtividade do seu trabalho.</p>",3,nao,0,,,0,,,,,,,https://www.ingafert.com.br/compensador-para-plataforma-nh-ref-466787-temperado-1070/p,https://images.yampi.me/assets/stores/ingafert-pecas-agricolas/uploads/images/compensador-para-plataforma-nh-ref-466787-temperado-1070-6845bb7262875-medium.jpg
